Account_ID,Customer_Name,Age,Gender,Account_Type,Balance,Transaction_Amount,Transaction_Type,Transaction_Date,Branch,IFSC_Code,Loan_Status,Credit_Score,KYC_Status,Account_Status
A12046,Ravi,18,Other,Current,88645,-11221,debit,2021-09-30,Bangalore,ICICI003,Pending,711,Verified,Dormant
A11871,John,24,Male,Unknown,82095,12549,credit,2023-10-11,Mumbai,ICICI003,Rejected,480,Rejected,Inactive
A12496,Amit,24,Other,Credit,72387,-40262,debit,2025-12-16,Unknown,Unknown,Rejected,300,Pending,Inactive
A12898,Ravi,47,Other,Savings,138969,37977,credit,2023-04-03,Mumbai,ICICI003,Approved,477,Verified,Active
A10099,Amit,39,Other,Current,59425,-776,debit,2025-03-23,Unknown,AXIS004,Pending,839,Verified,Active
A12008,Sara,32,Other,Credit,46982,-9935,debit,2024-04-26,Mumbai,Unknown,Approved,464,Verified,Active
A13249,John,33,Female,Credit,145809,26234,credit,2024-09-19,Bangalore,HDFC001,Pending,814,Verified,Active
A10755,Amit,40,Other,Unknown,126818,-309,debit,2025-11-28,Chennai,Unknown,Approved,374,Verified,Active
A10797,Amit,26,Other,Unknown,192646,19641,credit,2023-03-12,Unknown,AXIS004,Approved,750,Verified,Active
A10659,Sara,21,Other,Current,80100,35865,credit,2024-07-03,Bangalore,SBI002,Pending,401,Verified,Active
A13219,Amit,29,Other,Unknown,17136,12958,credit,2021-07-10,Unknown,Unknown,Approved,568,Verified,Dormant
A12958,Priya,48,Other,Savings,151319,-3439,debit,2021-12-30,Chennai,ICICI003,Approved,799,Verified,Active
A10423,Unknown,40,Other,Unknown,70356,-38414,debit,2021-11-09,Delhi,AXIS004,Rejected,395,Rejected,Inactive
A13360,Neha,42,Other,Unknown,160614,12647,credit,2024-06-29,Chennai,Unknown,Rejected,715,Rejected,Inactive
A13337,John,41,Female,Unknown,161350,24237,credit,2022-09-22,Bangalore,HDFC001,Rejected,864,Rejected,Inactive
A12745,Amit,36,Other,Unknown,40170,-4404,debit,2023-02-06,Bangalore,HDFC001,Rejected,633,Pending,Closed
A10639,John,61,Female,Current,186624,35323,credit,2025-01-01,Chennai,Unknown,Rejected,579,Rejected,Inactive
A10544,John,18,Male,Unknown,58254,-12902,debit,2021-08-30,Unknown,AXIS004,Pending,636,Pending,Dormant
A12591,Neha,43,Male,Unknown,109798,19335,credit,2025-04-23,Unknown,HDFC001,Rejected,640,Rejected,Inactive
A10714,Priya,50,Female,Current,66171,10710,credit,2022-05-23,Bangalore,Unknown,Rejected,659,Pending,Inactive
A12292,John,19,Other,Loan,190629,-7378,debit,2021-04-15,Chennai,AXIS004,Rejected,331,Pending,Inactive
A10151,Neha,29,Other,Current,131312,-17289,debit,2024-08-12,Chennai,AXIS004,Rejected,414,Rejected,Inactive
A12723,John,67,Female,Unknown,51063,36503,credit,2025-12-02,Unknown,HDFC001,Rejected,698,Rejected,Inactive
A12558,Priya,43,Female,Unknown,138015,31999,credit,2022-03-27,Delhi,AXIS004,Approved,363,Verified,Dormant
A12930,John,27,Male,Current,81980,-32746,debit,2022-05-19,Bangalore,AXIS004,Rejected,482,Pending,Inactive
A11207,Neha,55,Female,Unknown,520,-24215,debit,2022-01-29,Unknown,ICICI003,Rejected,664,Pending,Dormant
A12076,Unknown,62,Other,Savings,65416,-14471,debit,2025-06-01,Pune,ICICI003,Rejected,425,Rejected,Inactive
A10802,Neha,35,Other,Unknown,197990,-12678,debit,2021-04-03,Unknown,Unknown,Rejected,594,Pending,Dormant
A12176,John,28,Female,Unknown,52249,48296,credit,2023-11-28,Delhi,Unknown,Approved,638,Verified,Active
A12176,John,28,Female,Unknown,61772,19078,credit,2025-01-15,Delhi,Unknown,Rejected,728,Rejected,Closed
A11956,Neha,45,Other,Unknown,160465,-14744,debit,2024-01-12,Pune,AXIS004,Rejected,776,Pending,Inactive
A13125,Neha,39,Male,Loan,81272,6360,credit,2024-03-17,Unknown,Unknown,Rejected,618,Pending,Dormant
A11925,Amit,33,Other,Current,130881,-4292,debit,2025-10-24,Unknown,AXIS004,Rejected,669,Rejected,Dormant
A10756,Ravi,38,Other,Current,190005,7838,credit,2021-07-13,Delhi,ICICI003,Rejected,536,Verified,Active
A10273,John,23,Female,Credit,153837,1390,credit,2023-06-05,Bangalore,Unknown,Pending,599,Pending,Closed
A12383,Amit,38,Male,Credit,18490,25706,credit,2023-08-03,Delhi,SBI002,Rejected,559,Pending,Inactive
A10388,Unknown,24,Female,Unknown,32975,-13148,debit,2024-03-07,Mumbai,ICICI003,Rejected,818,Pending,Inactive
A11641,Amit,25,Female,Current,7013,5793,credit,2022-04-09,Delhi,AXIS004,Rejected,411,Rejected,Inactive
A13114,Amit,18,Other,Loan,55977,-9405,debit,2025-01-13,Delhi,AXIS004,Rejected,312,Pending,Inactive
A11466,Sara,45,Female,Current,46338,-22854,debit,2025-04-28,Bangalore,Unknown,Pending,321,Pending,Inactive
A12591,Neha,43,Male,Unknown,154546,20632,credit,2024-10-15,Unknown,HDFC001,Rejected,700,Rejected,Inactive
A10888,Amit,56,Other,Savings,19618,-13251,debit,2023-12-12,Pune,AXIS004,Rejected,664,Rejected,Inactive
A10257,John,25,Other,Loan,70308,-12755,debit,2024-07-24,Delhi,SBI002,Approved,821,Verified,Active
A11345,Priya,27,Male,Savings,125301,14461,credit,2023-11-07,Delhi,AXIS004,Rejected,689,Rejected,Inactive
A12105,Ravi,24,Male,Savings,60789,37278,credit,2024-02-01,Delhi,ICICI003,Approved,373,Verified,Active
A12339,Amit,47,Other,Credit,142084,39628,credit,2023-06-22,Bangalore,HDFC001,Pending,545,Pending,Active
A13191,Amit,23,Female,Unknown,142594,-19947,debit,2022-07-09,Mumbai,ICICI003,Rejected,669,Pending,Closed
A12827,Amit,51,Other,Credit,98521,24709,credit,2024-01-27,Bangalore,AXIS004,Approved,788,Verified,Active
A10430,Amit,27,Other,Unknown,39320,-34019,debit,2021-01-07,Delhi,ICICI003,Approved,878,Verified,Active
A13154,John,57,Male,Current,164264,-47138,debit,2025-08-18,Mumbai,AXIS004,Rejected,526,Rejected,Inactive
A10091,Amit,37,Other,Credit,188583,-1777,debit,2025-02-05,Chennai,AXIS004,Rejected,576,Pending,Inactive
A11920,Sara,18,Female,Unknown,126033,673,credit,2021-07-06,Unknown,Unknown,Rejected,345,Rejected,Inactive
A12446,Unknown,40,Other,Savings,24854,23318,credit,2021-12-13,Delhi,AXIS004,Approved,544,Verified,Active
A12659,Unknown,21,Female,Credit,193166,34529,credit,2022-04-19,Chennai,SBI002,Approved,305,Verified,Active
A11589,Unknown,25,Other,Savings,174891,-33171,debit,2023-07-03,Unknown,SBI002,Approved,438,Verified,Active
A12956,Sara,22,Other,Credit,74153,-47901,debit,2025-09-28,Unknown,Unknown,Rejected,392,Rejected,Inactive
A12681,Amit,47,Female,Loan,86048,-633,debit,2025-01-06,Chennai,ICICI003,Pending,853,Verified,Active
A10084,Ravi,38,Other,Loan,46084,24564,credit,2023-03-29,Unknown,AXIS004,Rejected,319,Rejected,Inactive
A12251,John,26,Female,Unknown,129263,-5862,debit,2021-06-08,Bangalore,AXIS004,Approved,783,Verified,Active
A10324,Priya,18,Male,Current,151172,-7672,debit,2021-05-20,Mumbai,ICICI003,Rejected,789,Pending,Inactive
A10774,Priya,27,Other,Loan,18068,-4907,debit,2023-11-11,Delhi,Unknown,Rejected,708,Rejected,Inactive
A13012,Sara,39,Other,Loan,32613,34287,credit,2023-09-27,Bangalore,Unknown,Rejected,497,Rejected,Inactive
A11071,Neha,39,Male,Savings,42186,11325,credit,2023-04-07,Unknown,ICICI003,Rejected,616,Rejected,Inactive
A10639,John,61,Female,Current,21291,3744,credit,2022-10-20,Chennai,Unknown,Rejected,544,Rejected,Inactive
A12036,Neha,57,Male,Loan,118051,-4206,debit,2024-06-29,Bangalore,AXIS004,Rejected,511,Rejected,Inactive
A11155,Sara,60,Other,Credit,65698,-16217,debit,2024-01-17,Unknown,AXIS004,Pending,792,Verified,Active
A10972,Neha,52,Other,Credit,160318,18050,credit,2023-01-01,Pune,HDFC001,Rejected,408,Verified,Dormant
A12916,Sara,52,Female,Credit,87982,-6950,debit,2024-10-25,Unknown,SBI002,Rejected,861,Pending,Inactive
A11204,John,34,Male,Current,132177,39091,credit,2023-06-15,Delhi,Unknown,Pending,603,Verified,Active
A12024,Sara,31,Other,Current,148112,13296,credit,2025-03-24,Chennai,HDFC001,Rejected,346,Verified,Active
A11167,Amit,46,Other,Unknown,193404,-32637,debit,2023-02-06,Unknown,ICICI003,Rejected,730,Rejected,Inactive
A11684,Ravi,25,Female,Current,90804,29517,credit,2023-08-31,Mumbai,AXIS004,Rejected,574,Pending,Inactive
A13299,Neha,31,Other,Unknown,69700,46890,credit,2022-07-11,Pune,HDFC001,Rejected,319,Pending,Inactive
A13002,Unknown,51,Female,Loan,37766,-10090,debit,2022-06-18,Mumbai,HDFC001,Rejected,529,Rejected,Inactive
A12839,Unknown,44,Other,Credit,121134,-23816,debit,2022-10-27,Delhi,Unknown,Rejected,531,Pending,Inactive
A12767,Priya,26,Male,Unknown,159402,40888,credit,2022-01-16,Delhi,Unknown,Rejected,500,Pending,Inactive
A12957,Unknown,45,Other,Loan,118568,-18430,debit,2024-08-18,Mumbai,AXIS004,Approved,740,Verified,Dormant
A10373,Amit,28,Other,Unknown,131332,13544,credit,2024-07-01,Bangalore,Unknown,Pending,360,Pending,Dormant
A11877,Priya,41,Other,Credit,72720,-39444,debit,2021-11-21,Unknown,HDFC001,Rejected,538,Pending,Inactive
A10560,Priya,39,Other,Unknown,122455,7924,credit,2024-12-15,Mumbai,HDFC001,Rejected,687,Pending,Active
A11329,Unknown,45,Other,Current,118462,19826,credit,2024-12-20,Unknown,ICICI003,Rejected,528,Pending,Inactive
A11605,John,54,Other,Unknown,71167,29627,credit,2023-10-06,Unknown,Unknown,Rejected,503,Pending,Inactive
A12217,Priya,70,Female,Savings,27649,16710,credit,2023-04-07,Bangalore,HDFC001,Rejected,505,Pending,Inactive
A11699,Priya,39,Other,Savings,93636,49335,credit,2025-12-24,Unknown,AXIS004,Pending,769,Pending,Dormant
A11472,Priya,49,Male,Credit,119468,-22946,debit,2023-07-19,Delhi,ICICI003,Rejected,723,Pending,Closed
A13167,Amit,21,Other,Current,39453,-10763,debit,2022-01-04,Delhi,ICICI003,Approved,373,Verified,Active
A13269,Amit,36,Other,Unknown,153647,-4948,debit,2022-04-05,Unknown,HDFC001,Rejected,528,Pending,Inactive
A10256,Amit,45,Male,Unknown,159569,-40518,debit,2023-12-15,Chennai,AXIS004,Rejected,414,Rejected,Inactive
A11905,Unknown,44,Other,Unknown,62656,33643,credit,2023-07-02,Pune,Unknown,Rejected,349,Pending,Inactive
A11316,John,41,Male,Current,4117,-10852,debit,2024-06-09,Chennai,AXIS004,Rejected,467,Rejected,Inactive
A11954,Amit,21,Other,Credit,36381,-7461,debit,2021-03-17,Unknown,AXIS004,Rejected,587,Pending,Inactive
A10816,John,28,Female,Loan,174400,20631,credit,2021-09-21,Chennai,Unknown,Rejected,636,Pending,Dormant
A12435,John,19,Female,Unknown,168031,5820,credit,2023-05-12,Unknown,HDFC001,Rejected,427,Rejected,Inactive
A11634,Neha,26,Female,Loan,199811,6894,credit,2021-06-10,Unknown,Unknown,Rejected,664,Pending,Closed
A10973,Amit,53,Other,Credit,194771,-36668,debit,2021-11-09,Pune,HDFC001,Rejected,633,Rejected,Inactive
A10368,Ravi,28,Male,Savings,96320,28560,credit,2021-03-02,Bangalore,ICICI003,Rejected,519,Rejected,Dormant
A12023,Neha,18,Female,Unknown,57484,46110,credit,2025-07-23,Bangalore,Unknown,Rejected,722,Pending,Inactive
A12965,Neha,23,Female,Credit,180633,28606,credit,2024-12-03,Bangalore,SBI002,Rejected,590,Rejected,Inactive
A10201,John,30,Female,Unknown,24209,42607,credit,2025-02-17,Bangalore,Unknown,Rejected,695,Rejected,Inactive
A12431,Amit,31,Other,Loan,99782,7036,credit,2023-03-27,Pune,Unknown,Rejected,625,Pending,Inactive
A11536,Neha,51,Male,Current,78081,8936,credit,2021-12-17,Pune,Unknown,Approved,338,Verified,Dormant
A11930,Amit,36,Male,Unknown,133137,-2236,debit,2022-01-14,Unknown,AXIS004,Rejected,548,Pending,Dormant
A12418,Amit,18,Other,Unknown,75993,-17740,debit,2022-04-06,Unknown,Unknown,Rejected,753,Rejected,Inactive
A10555,John,49,Other,Savings,-2708,25523,credit,2024-10-04,Chennai,Unknown,Rejected,804,Rejected,Inactive
A10954,Sara,62,Male,Credit,44448,28655,credit,2025-06-27,Unknown,AXIS004,Approved,845,Verified,Active
A13455,Neha,48,Other,Credit,23365,-47666,debit,2024-04-25,Unknown,Unknown,Rejected,588,Rejected,Inactive
A12071,Neha,63,Male,Savings,100166,7497,credit,2025-07-09,Unknown,ICICI003,Rejected,869,Pending,Inactive
A11723,John,20,Other,Current,77635,17563,credit,2024-11-12,Unknown,AXIS004,Pending,442,Pending,Inactive
A10130,Priya,39,Male,Current,199805,27680,credit,2023-04-23,Pune,SBI002,Rejected,852,Pending,Inactive
A12425,Unknown,36,Male,Savings,190608,13335,credit,2024-12-07,Delhi,SBI002,Rejected,452,Pending,Inactive
A12146,Ravi,34,Female,Savings,186739,-3217,debit,2024-02-09,Mumbai,ICICI003,Pending,826,Verified,Dormant
A10931,Amit,53,Other,Unknown,62962,-40733,debit,2021-03-17,Delhi,Unknown,Rejected,313,Pending,Inactive
A12782,Neha,30,Male,Savings,23394,2655,credit,2023-08-13,Bangalore,HDFC001,Rejected,416,Rejected,Inactive
A12171,Sara,26,Male,Unknown,41786,-30945,debit,2022-01-14,Bangalore,Unknown,Rejected,381,Rejected,Inactive
A11987,John,44,Other,Unknown,55290,7638,credit,2021-03-10,Bangalore,AXIS004,Rejected,326,Pending,Dormant
A12642,Priya,28,Other,Unknown,-3071,14730,credit,2021-08-10,Unknown,SBI002,Approved,382,Verified,Active
A11966,John,27,Other,Current,3160,31060,credit,2025-12-25,Unknown,HDFC001,Approved,808,Verified,Active
A12787,John,49,Female,Credit,49977,7118,credit,2023-07-02,Unknown,AXIS004,Rejected,417,Rejected,Inactive
A13220,Ravi,58,Female,Credit,118117,-19275,debit,2023-11-29,Bangalore,HDFC001,Rejected,582,Rejected,Inactive
A10209,Neha,67,Female,Unknown,32614,-48644,debit,2021-01-08,Unknown,Unknown,Rejected,588,Pending,Dormant
A12610,Ravi,61,Male,Current,72820,-10883,debit,2024-07-30,Unknown,ICICI003,Approved,401,Verified,Active
A11435,John,19,Male,Unknown,107679,3857,credit,2021-06-27,Unknown,Unknown,Rejected,658,Pending,Inactive
A12830,Neha,18,Other,Savings,137401,32169,credit,2022-08-27,Delhi,HDFC001,Rejected,573,Pending,Dormant
A13113,Amit,60,Female,Savings,5231,-9543,debit,2023-12-10,Bangalore,HDFC001,Rejected,899,Pending,Inactive
A13130,John,47,Other,Credit,188193,-16990,debit,2022-08-28,Unknown,HDFC001,Rejected,353,Rejected,Inactive
A12753,Ravi,38,Female,Loan,174279,3699,credit,2023-09-03,Unknown,Unknown,Approved,756,Verified,Active
A13108,Unknown,46,Male,Loan,34559,36060,credit,2022-04-12,Mumbai,HDFC001,Pending,885,Pending,Dormant
A12826,Sara,56,Male,Credit,115687,39279,credit,2024-03-28,Chennai,SBI002,Rejected,861,Pending,Inactive
A10086,John,54,Other,Current,197873,34380,credit,2023-12-12,Pune,Unknown,Rejected,471,Pending,Inactive
A13115,Neha,30,Female,Unknown,10272,32778,credit,2024-01-13,Unknown,AXIS004,Rejected,317,Pending,Inactive
A10872,Ravi,51,Male,Current,150812,16694,credit,2022-04-26,Bangalore,SBI002,Rejected,487,Rejected,Inactive
A12059,Sara,53,Other,Unknown,75685,-8354,debit,2025-05-13,Mumbai,HDFC001,Approved,891,Verified,Active
A12818,Amit,59,Female,Current,33944,14283,credit,2024-12-06,Delhi,Unknown,Approved,867,Verified,Active
A10307,Amit,72,Other,Credit,72390,-12971,debit,2024-10-31,Mumbai,ICICI003,Approved,566,Verified,Dormant
A11104,Sara,44,Other,Unknown,60325,740,credit,2022-05-25,Chennai,SBI002,Rejected,758,Pending,Inactive
A12080,Amit,27,Other,Credit,98726,49552,credit,2024-11-07,Unknown,Unknown,Rejected,465,Rejected,Dormant
A11206,Neha,36,Other,Loan,155933,10797,credit,2021-03-14,Unknown,AXIS004,Rejected,304,Rejected,Inactive
A11152,Priya,42,Other,Credit,17516,6367,credit,2022-01-24,Mumbai,SBI002,Rejected,721,Pending,Dormant
A12854,Neha,42,Other,Credit,9308,-42836,debit,2022-02-16,Mumbai,SBI002,Rejected,610,Pending,Active
A10275,Neha,32,Male,Loan,138774,23459,credit,2025-04-25,Unknown,AXIS004,Approved,469,Verified,Dormant
A11198,Amit,20,Female,Unknown,148227,31190,credit,2022-12-07,Unknown,AXIS004,Rejected,378,Pending,Inactive
A11578,Ravi,39,Other,Unknown,184780,-14660,debit,2023-04-22,Delhi,ICICI003,Rejected,453,Rejected,Inactive
A11395,Priya,20,Other,Unknown,162286,28112,credit,2022-03-14,Unknown,ICICI003,Pending,593,Pending,Active
A11208,Amit,37,Male,Credit,115745,10787,credit,2024-06-04,Chennai,Unknown,Rejected,348,Rejected,Inactive
A12492,John,20,Other,Unknown,146287,-18395,debit,2022-12-28,Chennai,AXIS004,Rejected,879,Pending,Inactive
A12536,Amit,60,Other,Unknown,73832,-14213,debit,2022-09-21,Bangalore,ICICI003,Approved,859,Verified,Active
A12334,Sara,61,Other,Current,72098,-31594,debit,2021-03-06,Unknown,AXIS004,Rejected,479,Rejected,Inactive
A11304,John,44,Other,Credit,39840,-2766,debit,2025-10-23,Unknown,ICICI003,Rejected,452,Rejected,Inactive
A10637,John,19,Male,Credit,103555,-3302,debit,2025-04-21,Mumbai,Unknown,Pending,572,Pending,Closed
A10770,Amit,21,Other,Unknown,157337,15583,credit,2023-11-25,Unknown,Unknown,Rejected,325,Pending,Inactive
A10094,Amit,72,Other,Current,10144,46883,credit,2021-02-19,Bangalore,SBI002,Rejected,408,Rejected,Inactive
A13298,John,35,Female,Current,147371,-15201,debit,2022-04-18,Bangalore,HDFC001,Rejected,480,Rejected,Inactive
A11899,Amit,73,Other,Savings,107118,46916,credit,2025-07-29,Delhi,ICICI003,Pending,463,Pending,Active
A13341,Amit,43,Other,Unknown,45196,-13163,debit,2024-03-14,Mumbai,AXIS004,Rejected,824,Rejected,Inactive
A11904,John,32,Female,Current,92250,-30024,debit,2025-01-20,Delhi,Unknown,Pending,359,Pending,Inactive
A12344,John,45,Female,Current,9993,-3582,debit,2022-12-23,Mumbai,SBI002,Rejected,873,Rejected,Inactive
A11352,John,40,Female,Current,101503,30435,credit,2022-03-18,Unknown,Unknown,Rejected,667,Rejected,Closed
A13091,Neha,33,Other,Unknown,114877,8063,credit,2024-04-01,Pune,AXIS004,Rejected,540,Pending,Inactive
A10607,Sara,68,Female,Current,143296,25699,credit,2023-12-27,Delhi,AXIS004,Approved,423,Verified,Dormant
A11434,John,36,Other,Unknown,33575,22221,credit,2025-12-06,Unknown,Unknown,Rejected,714,Rejected,Active
A12498,Neha,29,Other,Savings,15259,11079,credit,2025-05-31,Chennai,ICICI003,Rejected,804,Pending,Inactive
A11272,Priya,72,Male,Unknown,141866,45174,credit,2021-04-15,Mumbai,HDFC001,Approved,802,Verified,Active
A10180,Sara,42,Other,Savings,54325,16429,credit,2025-05-04,Unknown,Unknown,Approved,879,Verified,Active
A12371,John,23,Other,Unknown,57062,-16710,debit,2025-05-12,Bangalore,Unknown,Rejected,565,Rejected,Active
A13052,Priya,61,Female,Current,102179,17025,credit,2021-07-19,Bangalore,AXIS004,Rejected,363,Rejected,Active
A13332,Amit,24,Other,Savings,178844,-14842,debit,2024-05-26,Bangalore,HDFC001,Rejected,425,Verified,Active
A10749,Amit,27,Female,Loan,135190,-11119,debit,2021-11-08,Delhi,AXIS004,Rejected,329,Rejected,Inactive
A12187,Sara,61,Other,Loan,140792,-19049,debit,2022-12-26,Unknown,HDFC001,Rejected,688,Verified,Dormant
A11020,John,64,Male,Loan,88338,-49863,debit,2022-09-12,Bangalore,AXIS004,Rejected,462,Verified,Active
A12646,Amit,22,Other,Loan,122346,-8387,debit,2024-04-05,Chennai,Unknown,Rejected,745,Pending,Active
A12937,Amit,30,Other,Unknown,156606,-43340,debit,2024-04-15,Bangalore,Unknown,Rejected,410,Rejected,Inactive
A11645,Amit,63,Other,Unknown,167754,-23656,debit,2025-11-13,Pune,ICICI003,Rejected,403,Pending,Inactive
A10843,Priya,55,Other,Unknown,175756,32192,credit,2021-09-07,Unknown,SBI002,Rejected,595,Pending,Closed
A12744,Priya,36,Female,Loan,31330,-19496,debit,2022-12-29,Delhi,SBI002,Approved,590,Verified,Dormant
A11552,Amit,27,Other,Current,30604,-17710,debit,2024-01-28,Unknown,HDFC001,Pending,308,Pending,Active
A13224,John,26,Other,Credit,40868,29211,credit,2022-09-29,Unknown,Unknown,Rejected,899,Pending,Inactive
A10925,Neha,71,Male,Unknown,167308,-24120,debit,2023-09-24,Mumbai,SBI002,Pending,857,Pending,Dormant
A12197,Unknown,58,Other,Loan,-2256,44990,credit,2022-10-04,Chennai,ICICI003,Rejected,487,Pending,Inactive
A11134,Ravi,21,Female,Current,148550,-3605,debit,2024-02-11,Unknown,HDFC001,Approved,595,Verified,Dormant
A10025,Neha,18,Other,Unknown,58552,16295,credit,2023-10-11,Unknown,SBI002,Approved,714,Verified,Active
A11488,Neha,50,Male,Savings,166695,-5239,debit,2023-05-06,Chennai,AXIS004,Rejected,365,Pending,Inactive
A10956,Amit,27,Female,Current,135534,7171,credit,2024-02-09,Unknown,Unknown,Pending,833,Verified,Active
A11913,Neha,70,Other,Credit,54675,12585,credit,2025-09-19,Unknown,ICICI003,Rejected,374,Rejected,Inactive
A12934,Priya,26,Female,Loan,29518,-19462,debit,2024-12-20,Mumbai,Unknown,Approved,471,Verified,Active
A11141,Neha,45,Other,Unknown,160042,4179,credit,2025-02-25,Chennai,ICICI003,Approved,819,Verified,Active
A11469,Unknown,71,Other,Current,90981,25186,credit,2025-03-30,Chennai,Unknown,Rejected,340,Pending,Inactive
A11619,Sara,49,Female,Credit,183961,-15514,debit,2021-06-22,Unknown,HDFC001,Approved,877,Verified,Active
A12721,Unknown,33,Other,Unknown,53582,48913,credit,2023-06-30,Bangalore,AXIS004,Rejected,405,Rejected,Inactive
A11896,Neha,41,Female,Unknown,47249,37109,credit,2023-01-09,Unknown,SBI002,Rejected,427,Rejected,Inactive
A10928,Amit,40,Female,Loan,117456,16152,credit,2021-02-02,Delhi,HDFC001,Rejected,326,Rejected,Inactive
A13300,Amit,30,Other,Credit,5366,-19783,debit,2024-06-21,Bangalore,Unknown,Rejected,630,Pending,Inactive
A11531,Priya,35,Female,Credit,38544,23968,credit,2022-11-20,Unknown,AXIS004,Approved,709,Verified,Active
A12811,Neha,41,Male,Unknown,154871,1329,credit,2021-11-09,Delhi,HDFC001,Rejected,708,Pending,Closed
A12169,Unknown,27,Female,Current,54755,-3902,debit,2025-02-14,Chennai,ICICI003,Rejected,898,Rejected,Inactive
A11350,John,23,Male,Unknown,131223,-9414,debit,2025-12-14,Chennai,Unknown,Approved,730,Verified,Active
A10469,Priya,52,Other,Current,182200,-13312,debit,2024-02-29,Delhi,Unknown,Rejected,810,Pending,Inactive
A12335,Priya,50,Other,Unknown,34102,27868,credit,2025-10-01,Chennai,Unknown,Pending,584,Verified,Active
A10525,Neha,41,Other,Loan,130785,26550,credit,2022-02-09,Bangalore,HDFC001,Rejected,504,Rejected,Inactive
A11863,John,24,Male,Current,59933,15219,credit,2023-07-25,Bangalore,Unknown,Approved,873,Verified,Active
A11720,Neha,34,Other,Loan,186997,38344,credit,2022-07-05,Unknown,AXIS004,Rejected,464,Pending,Inactive
A11176,Unknown,45,Other,Unknown,56865,49094,credit,2022-10-05,Delhi,SBI002,Rejected,353,Rejected,Inactive
